system:index,Aver_K2O_rate_kg_ha,Aver_N_P2O5_K2O_rate_kg_ha,Aver_N_rate_kg_ha,Aver_P2O5_rate_kg_ha,COUNTRY_NA,Country,Crop,Crop_area_k_ha,FUBC_report_number,ISO3_code,K2O_k_t,K2O_pc_fert,K2O_rate_kg_ha,N_P2O5_K2O_k_t,N_k_t,N_pc_fert,N_rate_kg_ha,OBJECTID,Original_country_name_in_FUBC_report,P2O5_k_t,P2O5_pc_fert,P2O5_rate_kg_ha,Region_IFA,Shape_Area,Shape_Le_1,Shape_Leng,Year,Year_FUBC_publication,.geo
00000000000000000000,NA,NA,NA,NA,Benin,Benin,Cassava,120,1,BEN,NA,NA,NA,NA,NA,NA,NA,277,BENIN,NA,NA,NA,Africa,9.50074414205,21.7037438297,21.4411128319,1991,1992,"{""type"":""Point"",""coordinates"":[2.33543143808518,9.646393564374613]}"
00000000000000000001,NA,NA,NA,NA,Benin,Benin,Cotton,151,1,BEN,0.8,NA,5,NA,5.3,NA,35,277,BENIN,0.8,NA,5,Africa,9.50074414205,21.7037438297,21.4411128319,1991,1992,"{""type"":""Point"",""coordinates"":[2.33543143808518,9.646393564374613]}"
00000000000000000002,NA,NA,NA,NA,Benin,Benin,Groundnut,100,1,BEN,NA,NA,NA,NA,NA,NA,NA,277,BENIN,NA,NA,NA,Africa,9.50074414205,21.7037438297,21.4411128319,1991,1992,"{""type"":""Point"",""coordinates"":[2.33543143808518,9.646393564374613]}"
00000000000000000003,NA,NA,NA,NA,Benin,Benin,Maize,450,1,BEN,NA,NA,NA,NA,NA,NA,NA,277,BENIN,NA,NA,NA,Africa,9.50074414205,21.7037438297,21.4411128319,1991,1992,"{""type"":""Point"",""coordinates"":[2.33543143808518,9.646393564374613]}"
00000000000000000004,NA,NA,NA,NA,Benin,Benin,Millet,41,1,BEN,NA,NA,NA,NA,NA,NA,NA,277,BENIN,NA,NA,NA,Africa,9.50074414205,21.7037438297,21.4411128319,1991,1992,"{""type"":""Point"",""coordinates"":[2.33543143808518,9.646393564374613]}"
00000000000000000005,NA,NA,NA,NA,Benin,Benin,Oil-Palm,300,1,BEN,NA,NA,NA,6.8,NA,NA,NA,277,BENIN,NA,NA,NA,Africa,9.50074414205,21.7037438297,21.4411128319,1991,1992,"{""type"":""Point"",""coordinates"":[2.33543143808518,9.646393564374613]}"
00000000000000000006,NA,NA,NA,NA,Benin,Benin,Pulses,100,1,BEN,NA,NA,NA,NA,NA,NA,NA,277,BENIN,NA,NA,NA,Africa,9.50074414205,21.7037438297,21.4411128319,1991,1992,"{""type"":""Point"",""coordinates"":[2.33543143808518,9.646393564374613]}"
00000000000000000007,NA,NA,NA,NA,Benin,Benin,Sorghum,150,1,BEN,NA,NA,NA,NA,NA,NA,NA,277,BENIN,NA,NA,NA,Africa,9.50074414205,21.7037438297,21.4411128319,1991,1992,"{""type"":""Point"",""coordinates"":[2.33543143808518,9.646393564374613]}"
00000000000000000008,5,NA,35,5,Benin,Benin,Cotton,151,3,BEN,0.755,NA,NA,6.795,5.285,NA,NA,277,Benin,0.755,NA,NA,Africa,9.50074414205,21.7037438297,21.4411128319,1991,1996,"{""type"":""Point"",""coordinates"":[2.33543143808518,9.646393564374613]}"
00000000000000000009,5,NA,35,5,Benin,Benin,Cotton,151,4,BEN,0.8,NA,NA,6.8,5.3,NA,NA,277,Benin,0.8,NA,NA,Africa,9.50074414205,21.7037438297,21.4411128319,1991,1999,"{""type"":""Point"",""coordinates"":[2.33543143808518,9.646393564374613]}"
0000000000000000000a,5,NA,35,5,Benin,Benin,Cotton,151,2,BEN,0.8,NA,NA,6.8,5.3,NA,NA,277,BENIN,0.8,NA,NA,Africa,9.50074414205,21.7037438297,21.4411128319,1991/92,1994,"{""type"":""Point"",""coordinates"":[2.33543143808518,9.646393564374613]}"
0000000000000000000b,NA,NA,NA,NA,Nigeria,Nigeria,Cassava,1250,1,NGA,0.6,2,23,1.4,0.5,2,21,279,NIGERIA,0.3,2,11,Africa,74.920339372,64.6278357672,64.3604760142,1984,1992,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
0000000000000000000c,NA,NA,NA,NA,Nigeria,Nigeria,Cotton,381,1,NGA,0,46,0,6.1,4.2,46,24,279,NIGERIA,1.9,46,11,Africa,74.920339372,64.6278357672,64.3604760142,1984,1992,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
0000000000000000000d,NA,NA,NA,NA,Nigeria,Nigeria,Maize,1050,1,NGA,0.3,14,2,10.1,7.2,14,49,279,NIGERIA,2.6,14,18,Africa,74.920339372,64.6278357672,64.3604760142,1984,1992,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
0000000000000000000e,NA,NA,NA,NA,Nigeria,Nigeria,Millet,2133,1,NGA,1.2,19,3,13.8,8.1,19,20,279,NIGERIA,4.5,19,11,Africa,74.920339372,64.6278357672,64.3604760142,1984,1992,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
0000000000000000000f,NA,NA,NA,NA,Nigeria,Nigeria,Rubber,129,1,NGA,NA,2,19,0.2,0.1,2,26,279,NIGERIA,0.1,2,20,Africa,74.920339372,64.6278357672,64.3604760142,1984,1992,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
00000000000000000010,NA,NA,NA,NA,Nigeria,Nigeria,Sorghum,2827,1,NGA,2,23,3,20.2,11.1,23,17,279,NIGERIA,7.2,23,11,Africa,74.920339372,64.6278357672,64.3604760142,1984,1992,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
00000000000000000011,NA,NA,NA,NA,Nigeria,Nigeria,Vegetables,190,1,NGA,0.6,25,13,2,1,25,21,279,NIGERIA,0.4,25,8,Africa,74.920339372,64.6278357672,64.3604760142,1984,1992,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
00000000000000000012,NA,NA,NA,NA,Nigeria,Nigeria,Wheat,16,1,NGA,0,21,0,0.3,0.3,21,80,279,NIGERIA,0.1,21,24,Africa,74.920339372,64.6278357672,64.3604760142,1984,1992,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
00000000000000000013,NA,NA,NA,NA,Nigeria,Nigeria,Oil-Palm,5000,1,NGA,NA,0,38,0.1,NA,0,29,279,NIGERIA,NA,0,13,Africa,74.920339372,64.6278357672,64.3604760142,1984,1992,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
00000000000000000014,NA,NA,NA,NA,Nigeria,Nigeria,Cocoa,700,1,NGA,0.4,5,12,2.2,1.2,5,33,279,NIGERIA,0.6,5,17,Africa,74.920339372,64.6278357672,64.3604760142,1984,1992,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
00000000000000000015,NA,NA,NA,NA,Nigeria,Nigeria,Rice,650,1,NGA,1,20,8,9.5,6.2,20,48,279,NIGERIA,2.2,20,17,Africa,74.920339372,64.6278357672,64.3604760142,1984,1992,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
00000000000000000016,NA,NA,NA,NA,Nigeria,Nigeria,Yam,816,1,NGA,2.9,20,18,7.8,2.8,20,17,279,NIGERIA,2.1,20,13,Africa,74.920339372,64.6278357672,64.3604760142,1984,1992,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
00000000000000000017,NA,NA,NA,NA,Nigeria,Nigeria,Potato,30,1,NGA,0.2,100,7,1.1,0.6,100,21,279,NIGERIA,0.2,100,8,Africa,74.920339372,64.6278357672,64.3604760142,1984,1992,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
00000000000000000018,NA,NA,NA,NA,Nigeria,Nigeria,Sugar Cane,40,1,NGA,1.6,100,39,5.1,2.2,100,56,279,NIGERIA,1.3,100,33,Africa,74.920339372,64.6278357672,64.3604760142,1984,1992,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
00000000000000000019,NA,NA,NA,NA,Nigeria,Nigeria,Tobacco,19,1,NGA,0.8,100,44,2.3,0.8,100,42,279,NIGERIA,0.6,100,33,Africa,74.920339372,64.6278357672,64.3604760142,1984,1992,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
0000000000000000001a,NA,NA,2.7,1.1,Nigeria,Nigeria,Cassava,3639,4,NGA,0,NA,NA,13.8,9.8,NA,NA,279,Nigeria,4,NA,NA,Africa,74.920339372,64.6278357672,64.3604760142,1996,1999,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
0000000000000000001b,NA,NA,35.1,0,Nigeria,Nigeria,Cotton,368,4,NGA,0,NA,NA,12.9,12.9,NA,NA,279,Nigeria,0,NA,NA,Africa,74.920339372,64.6278357672,64.3604760142,1996,1999,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
0000000000000000001c,NA,NA,0.5,0.6,Nigeria,Nigeria,Cowpea,5390,4,NGA,0,NA,NA,5.9,2.7,NA,NA,279,Nigeria,3.2,NA,NA,Africa,74.920339372,64.6278357672,64.3604760142,1996,1999,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
0000000000000000001d,NA,NA,1,0.7,Nigeria,Nigeria,Groundnut,2997,4,NGA,0,NA,NA,5.1,3,NA,NA,279,Nigeria,2.1,NA,NA,Africa,74.920339372,64.6278357672,64.3604760142,1996,1999,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
0000000000000000001e,NA,NA,5.9,1.4,Nigeria,Nigeria,Maize,4203,4,NGA,0,NA,NA,30.7,24.8,NA,NA,279,Nigeria,5.9,NA,NA,Africa,74.920339372,64.6278357672,64.3604760142,1996,1999,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
0000000000000000001f,NA,NA,1.8,0.7,Nigeria,Nigeria,Millet,5528,4,NGA,0,NA,NA,13.8,10,NA,NA,279,Nigeria,3.9,NA,NA,Africa,74.920339372,64.6278357672,64.3604760142,1996,1999,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
00000000000000000020,NA,NA,1.3,1.3,Nigeria,Nigeria,Potato,80,4,NGA,0,NA,NA,0.2,0.1,NA,NA,279,Nigeria,0.1,NA,NA,Africa,74.920339372,64.6278357672,64.3604760142,1996,1999,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
00000000000000000021,NA,NA,1,0.3,Nigeria,Nigeria,Potato/Sweet,386,4,NGA,0,NA,NA,0.5,0.4,NA,NA,279,Nigeria,0.1,NA,NA,Africa,74.920339372,64.6278357672,64.3604760142,1996,1999,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
00000000000000000022,NA,NA,4.8,1.9,Nigeria,Nigeria,Rice,2097,4,NGA,0,NA,NA,14,10.1,NA,NA,279,Nigeria,4,NA,NA,Africa,74.920339372,64.6278357672,64.3604760142,1996,1999,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
00000000000000000023,NA,NA,1.4,0.4,Nigeria,Nigeria,Sorghum,7338,4,NGA,0,NA,NA,13.2,10.3,NA,NA,279,Nigeria,2.9,NA,NA,Africa,74.920339372,64.6278357672,64.3604760142,1996,1999,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
00000000000000000024,NA,NA,2.6,2.1,Nigeria,Nigeria,Soybean,467,4,NGA,0,NA,NA,2.2,1.2,NA,NA,279,Nigeria,1,NA,NA,Africa,74.920339372,64.6278357672,64.3604760142,1996,1999,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
00000000000000000025,NA,NA,2.2,0.9,Nigeria,Nigeria,Taro,555,4,NGA,0,NA,NA,1.7,1.2,NA,NA,279,Nigeria,0.5,NA,NA,Africa,74.920339372,64.6278357672,64.3604760142,1996,1999,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
00000000000000000026,NA,NA,3.9,1.4,Nigeria,Nigeria,Yam,2847,4,NGA,0,NA,NA,15.1,11.1,NA,NA,279,Nigeria,4,NA,NA,Africa,74.920339372,64.6278357672,64.3604760142,1996,1999,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
00000000000000000027,NA,NA,2.7,1.1,Nigeria,Nigeria,Cassava,3639,5,NGA,0,NA,NA,13.8,9.8,NA,NA,279,Nigeria,4,NA,NA,Africa,74.920339372,64.6278357672,64.3604760142,1996,2002,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
00000000000000000028,NA,NA,35.1,0,Nigeria,Nigeria,Cotton,368,5,NGA,0,NA,NA,12.9,12.9,NA,NA,279,Nigeria,0,NA,NA,Africa,74.920339372,64.6278357672,64.3604760142,1996,2002,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
00000000000000000029,NA,NA,0.5,0.6,Nigeria,Nigeria,Cowpea,5390,5,NGA,0,NA,NA,5.9,2.7,NA,NA,279,Nigeria,3.2,NA,NA,Africa,74.920339372,64.6278357672,64.3604760142,1996,2002,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
0000000000000000002a,NA,NA,1,0.7,Nigeria,Nigeria,Groundnut,2997,5,NGA,0,NA,NA,5.1,3,NA,NA,279,Nigeria,2.1,NA,NA,Africa,74.920339372,64.6278357672,64.3604760142,1996,2002,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
0000000000000000002b,NA,NA,5.9,1.4,Nigeria,Nigeria,Maize,4203,5,NGA,0,NA,NA,30.7,24.8,NA,NA,279,Nigeria,5.9,NA,NA,Africa,74.920339372,64.6278357672,64.3604760142,1996,2002,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
0000000000000000002c,NA,NA,1.8,0.7,Nigeria,Nigeria,Millet,5528,5,NGA,0,NA,NA,13.9,10,NA,NA,279,Nigeria,3.9,NA,NA,Africa,74.920339372,64.6278357672,64.3604760142,1996,2002,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
0000000000000000002d,NA,NA,1.3,1.3,Nigeria,Nigeria,Potato,80,5,NGA,0,NA,NA,0.2,0.1,NA,NA,279,Nigeria,0.1,NA,NA,Africa,74.920339372,64.6278357672,64.3604760142,1996,2002,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
0000000000000000002e,NA,NA,1,0.3,Nigeria,Nigeria,"Potato, sweet",386,5,NGA,0,NA,NA,0.5,0.4,NA,NA,279,Nigeria,0.1,NA,NA,Africa,74.920339372,64.6278357672,64.3604760142,1996,2002,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
0000000000000000002f,NA,NA,4.8,1.9,Nigeria,Nigeria,Rice,2097,5,NGA,0,NA,NA,14.1,10.1,NA,NA,279,Nigeria,4,NA,NA,Africa,74.920339372,64.6278357672,64.3604760142,1996,2002,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
00000000000000000030,NA,NA,1.4,0.4,Nigeria,Nigeria,Sorghum,7338,5,NGA,0,NA,NA,13.2,10.3,NA,NA,279,Nigeria,2.9,NA,NA,Africa,74.920339372,64.6278357672,64.3604760142,1996,2002,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
00000000000000000031,NA,NA,2.6,2.1,Nigeria,Nigeria,Soybean,467,5,NGA,0,NA,NA,2.2,1.2,NA,NA,279,Nigeria,1,NA,NA,Africa,74.920339372,64.6278357672,64.3604760142,1996,2002,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
00000000000000000032,NA,NA,2.2,0.9,Nigeria,Nigeria,Taro,555,5,NGA,0,NA,NA,1.7,1.2,NA,NA,279,Nigeria,0.5,NA,NA,Africa,74.920339372,64.6278357672,64.3604760142,1996,2002,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
00000000000000000033,NA,NA,3.9,1.4,Nigeria,Nigeria,Yam,2847,5,NGA,0,NA,NA,15.1,11.1,NA,NA,279,Nigeria,4,NA,NA,Africa,74.920339372,64.6278357672,64.3604760142,1996,2002,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
00000000000000000034,3.276978417,20.8381295,14.28417266,3.276978417,Nigeria,Nigeria,Cottonseed,556,9,NGA,1.822,NA,NA,11.586,7.942,NA,NA,279,Nigeria,1.822,NA,NA,Africa,74.920339372,64.6278357672,64.3604760142,2017,2022,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
00000000000000000035,2.1290052,13.43952357,9.181513169,2.1290052,Nigeria,Nigeria,Maize,5961,9,NGA,12.691,NA,NA,80.113,54.731,NA,NA,279,Nigeria,12.691,NA,NA,Africa,74.920339372,64.6278357672,64.3604760142,2017,2022,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
00000000000000000036,3.310742031,20.98647201,14.36498795,3.310742031,Nigeria,Nigeria,Other cereals,7466,9,NGA,24.718,NA,NA,156.685,107.249,NA,NA,279,Nigeria,24.718,NA,NA,Africa,74.920339372,64.6278357672,64.3604760142,2017,2022,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
00000000000000000037,0.750228035,4.796733902,3.231045952,0.815459914,Nigeria,Nigeria,Residual,24420.575,9,NGA,18.321,NA,NA,117.139,78.904,NA,NA,279,Nigeria,19.914,NA,NA,Africa,74.920339372,64.6278357672,64.3604760142,2017,2022,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
00000000000000000038,1.939728135,12.25955373,8.380097461,1.939728135,Nigeria,Nigeria,Rice,3899,9,NGA,7.563,NA,NA,47.8,32.674,NA,NA,279,Nigeria,7.563,NA,NA,Africa,74.920339372,64.6278357672,64.3604760142,2017,2022,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
00000000000000000039,0.852563713,5.272854449,3.493278998,0.927011739,Nigeria,Nigeria,Roots/tubers,16441,9,NGA,14.017,NA,NA,86.691,57.433,NA,NA,279,Nigeria,15.241,NA,NA,Africa,74.920339372,64.6278357672,64.3604760142,2017,2022,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
0000000000000000003a,2.697321429,17.34553571,11.62321429,3.025,Nigeria,Nigeria,Soybeans,1120,9,NGA,3.021,NA,NA,19.427,13.018,NA,NA,279,Nigeria,3.388,NA,NA,Africa,74.920339372,64.6278357672,64.3604760142,2017,2022,"{""type"":""Point"",""coordinates"":[8.09247134317156,9.589068462822988]}"
000000000000000000ec,NA,NA,NA,NA,Egypt,Egypt,Alfalfa,NA,1,EGY,0,0,0,0,0,0,37,74,EGYPT,0,NA,143,Africa,89.2227944508,65.3741243194,65.3741243194,1991,1992,"{""type"":""Point"",""coordinates"":[29.791505340595226,26.52919625971053]}"
000000000000000000ed,NA,NA,NA,NA,Egypt,Egypt,Barley,65,1,EGY,0,0,0,7.2,7.2,100,111,74,EGYPT,0,0,0,Africa,89.2227944508,65.3741243194,65.3741243194,1991,1992,"{""type"":""Point"",""coordinates"":[29.791505340595226,26.52919625971053]}"
000000000000000000ee,NA,NA,NA,NA,Egypt,Egypt,Bean,123,1,EGY,0,0,0,13.3,4.6,100,37,74,EGYPT,8.7,100,71,Africa,89.2227944508,65.3741243194,65.3741243194,1991,1992,"{""type"":""Point"",""coordinates"":[29.791505340595226,26.52919625971053]}"
000000000000000000ef,NA,NA,NA,NA,Egypt,Egypt,Cotton,358,1,EGY,0,0,0,72.3,53,100,148,74,EGYPT,19.3,100,54,Africa,89.2227944508,65.3741243194,65.3741243194,1991,1992,"{""type"":""Point"",""coordinates"":[29.791505340595226,26.52919625971053]}"
000000000000000000f0,NA,NA,NA,NA,Egypt,Egypt,Lentil,7,1,EGY,0,0,0,0.6,0.3,100,37,74,EGYPT,0.4,100,54,Africa,89.2227944508,65.3741243194,65.3741243194,1991,1992,"{""type"":""Point"",""coordinates"":[29.791505340595226,26.52919625971053]}"
000000000000000000f1,NA,NA,NA,NA,Egypt,Egypt,maize,870,1,EGY,0,0,0,240.1,208.8,100,240,74,EGYPT,31.3,100,36,Africa,89.2227944508,65.3741243194,65.3741243194,1991,1992,"{""type"":""Point"",""coordinates"":[29.791505340595226,26.52919625971053]}"
000000000000000000f2,NA,NA,NA,NA,Egypt,Egypt,Pea,5,1,EGY,0,0,0,0.5,0.2,100,37,74,EGYPT,0.3,100,54,Africa,89.2227944508,65.3741243194,65.3741243194,1991,1992,"{""type"":""Point"",""coordinates"":[29.791505340595226,26.52919625971053]}"
000000000000000000f3,NA,NA,NA,NA,Egypt,Egypt,Pulses(Other),3,1,EGY,0,0,0,0.3,0.1,100,37,74,EGYPT,0.2,100,54,Africa,89.2227944508,65.3741243194,65.3741243194,1991,1992,"{""type"":""Point"",""coordinates"":[29.791505340595226,26.52919625971053]}"
000000000000000000f4,NA,NA,NA,NA,Egypt,Egypt,Rice,462,1,EGY,0,0,0,61.9,45.3,100,98,74,EGYPT,16.6,100,36,Africa,89.2227944508,65.3741243194,65.3741243194,1991,1992,"{""type"":""Point"",""coordinates"":[29.791505340595226,26.52919625971053]}"
000000000000000000f5,NA,NA,NA,NA,Egypt,Egypt,Sesame,24,1,EGY,0,0,0,1.5,0.2,100,9,74,EGYPT,1.3,100,54,Africa,89.2227944508,65.3741243194,65.3741243194,1991,1992,"{""type"":""Point"",""coordinates"":[29.791505340595226,26.52919625971053]}"
000000000000000000f6,NA,NA,NA,NA,Egypt,Egypt,Sorghum,136,1,EGY,0,0,0,27.5,25,100,184,74,EGYPT,2.4,100,18,Africa,89.2227944508,65.3741243194,65.3741243194,1991,1992,"{""type"":""Point"",""coordinates"":[29.791505340595226,26.52919625971053]}"
000000000000000000f7,NA,NA,NA,NA,Egypt,Egypt,Soybean,42,1,EGY,0,0,0,7.7,5.4,100,129,74,EGYPT,2.3,100,54,Africa,89.2227944508,65.3741243194,65.3741243194,1991,1992,"{""type"":""Point"",""coordinates"":[29.791505340595226,26.52919625971053]}"
000000000000000000f8,NA,NA,NA,NA,Egypt,Egypt,Sugar cane,111,1,EGY,0,0,0,73.3,61.4,100,553,74,EGYPT,11.9,100,107,Africa,89.2227944508,65.3741243194,65.3741243194,1991,1992,"{""type"":""Point"",""coordinates"":[29.791505340595226,26.52919625971053]}"
000000000000000000f9,NA,NA,NA,NA,Egypt,Egypt,Sunflower,18,1,EGY,0,0,0,2.3,1.3,100,74,74,EGYPT,1,100,54,Africa,89.2227944508,65.3741243194,65.3741243194,1991,1992,"{""type"":""Point"",""coordinates"":[29.791505340595226,26.52919625971053]}"
000000000000000000fa,NA,NA,NA,NA,Egypt,Egypt,Wheat,930,1,EGY,0,0,0,187.9,154.4,100,166,74,EGYPT,33.5,100,36,Africa,89.2227944508,65.3741243194,65.3741243194,1991,1992,"{""type"":""Point"",""coordinates"":[29.791505340595226,26.52919625971053]}"
000000000000000000fb,NA,NA,NA,NA,Egypt,Egypt,Yam,5,1,EGY,0,0,0,0.8,0.3,100,55,74,EGYPT,0.5,100,107,Africa,89.2227944508,65.3741243194,65.3741243194,1991,1992,"{""type"":""Point"",""coordinates"":[29.791505340595226,26.52919625971053]}"
000000000000000000fc,NA,NA,NA,NA,Egypt,Egypt,Banana,14,1,EGY,6.4,100,457,24.4,15,100,1070,74,EGYPT,3,100,214,Africa,89.2227944508,65.3741243194,65.3741243194,1991,1992,"{""type"":""Point"",""coordinates"":[29.791505340595226,26.52919625971053]}"
000000000000000000fd,NA,NA,NA,NA,Egypt,Egypt,Citrus (Other),125,1,EGY,7.1,100,57,57.5,41.5,100,332,74,EGYPT,8.9,100,71,Africa,89.2227944508,65.3741243194,65.3741243194,1991,1992,"{""type"":""Point"",""coordinates"":[29.791505340595226,26.52919625971053]}"
000000000000000000fe,NA,NA,NA,NA,Egypt,Egypt,Orange,55,1,EGY,3.9,100,71,26.1,18.3,100,332,74,EGYPT,3.9,100,71,Africa,89.2227944508,65.3741243194,65.3741243194,1991,1992,"{""type"":""Point"",""coordinates"":[29.791505340595226,26.52919625971053]}"
000000000000000000ff,NA,NA,NA,NA,Egypt,Egypt,Potato,78,1,EGY,8.9,100,114,40.2,23,100,295,74,EGYPT,8.3,100,107,Africa,89.2227944508,65.3741243194,65.3741243194,1991,1992,"{""type"":""Point"",""coordinates"":[29.791505340595226,26.52919625971053]}"
00000000000000000100,NA,NA,NA,NA,Egypt,Egypt,Squash and gourd,22,1,EGY,1.3,100,57,5.3,2.8,100,129,74,EGYPT,1.2,100,54,Africa,89.2227944508,65.3741243194,65.3741243194,1991,1992,"{""type"":""Point"",""coordinates"":[29.791505340595226,26.52919625971053]}"
00000000000000000101,NA,NA,NA,NA,Egypt,Egypt,Tomato,138,1,EGY,15.7,100,114,71.2,40.7,100,295,74,EGYPT,14.8,100,107,Africa,89.2227944508,65.3741243194,65.3741243194,1991,1992,"{""type"":""Point"",""coordinates"":[29.791505340595226,26.52919625971053]}"
00000000000000000102,NA,NA,NA,NA,Egypt,Egypt,Vegetables (Other),5,1,EGY,0.3,100,57,1.2,0.6,100,129,74,EGYPT,0.3,100,54,Africa,89.2227944508,65.3741243194,65.3741243194,1991,1992,"{""type"":""Point"",""coordinates"":[29.791505340595226,26.52919625971053]}"
00000000000000000103,NA,NA,NA,NA,Egypt,Egypt,Flax,12,2,EGY,0,0,0,1.7,1.3,100,107,74,EGYPT,0.4,100,36,Africa,89.2227944508,65.3741243194,65.3741243194,1992,1994,"{""type"":""Point"",""coordinates"":[29.791505340595226,26.52919625971053]}"
00000000000000000104,NA,NA,NA,NA,Egypt,Egypt,Maize,826,2,EGY,0,0,0,236.2,206.5,100,250,74,EGYPT,29.7,100,36,Africa,89.2227944508,65.3741243194,65.3741243194,1992,1994,"{""type"":""Point"",""coordinates"":[29.791505340595226,26.52919625971053]}"
00000000000000000105,NA,NA,NA,NA,Egypt,Egypt,Millet,150,2,EGY,0,0,0,32.1,26.7,100,178,74,EGYPT,5.4,100,36,Africa,89.2227944508,65.3741243194,65.3741243194,1992,1994,"{""type"":""Point"",""coordinates"":[29.791505340595226,26.52919625971053]}"
00000000000000000106,NA,NA,NA,NA,Egypt,Egypt,Rice,510,2,EGY,0,0,0,91.3,72.9,100,143,74,EGYPT,18.4,100,36,Africa,89.2227944508,65.3741243194,65.3741243194,1992,1994,"{""type"":""Point"",""coordinates"":[29.791505340595226,26.52919625971053]}"
00000000000000000107,NA,NA,NA,NA,Egypt,Egypt,Sugar Beet,16,2,EGY,0,0,0,3.1,2.2,100,140,74,EGYPT,0.9,100,54,Africa,89.2227944508,65.3741243194,65.3741243194,1992,1994,"{""type"":""Point"",""coordinates"":[29.791505340595226,26.52919625971053]}"
00000000000000000108,NA,NA,NA,NA,Egypt,Egypt,Wheat,880,2,EGY,0,0,0,188.3,156.6,100,178,74,EGYPT,31.7,100,36,Africa,89.2227944508,65.3741243194,65.3741243194,1992,1994,"{""type"":""Point"",""coordinates"":[29.791505340595226,26.52919625971053]}"
00000000000000000109,NA,NA,NA,NA,Egypt,Egypt,Apple,30,2,EGY,3.4,100,114,12.1,6.6,100,219,74,EGYPT,2.1,100,71,Africa,89.2227944508,65.3741243194,65.3741243194,1992,1994,"{""type"":""Point"",""coordinates"":[29.791505340595226,26.52919625971053]}"
0000000000000000010a,NA,NA,NA,NA,Egypt,Egypt,Barley,62,2,EGY,3.5,100,57,12.4,6.6,100,107,74,EGYPT,2.2,100,36,Africa,89.2227944508,65.3741243194,65.3741243194,1992,1994,"{""type"":""Point"",""coordinates"":[29.791505340595226,26.52919625971053]}"
